Step;Temp;Press;TotEng;Volume
220;190.819933962632;655.995010241221;-8523.60094495091;24079.6521758027
230;151.674732141633;-16825.9022003276;-8468.25837568626;24488.954283946
240;173.811532402008;-27878.1012433697;-8412.56248426277;24867.844828891
250;240.534007502118;-14852.2111209985;-8366.91419827561;24755.3884246762
260;265.356278610375;-5562.72318414377;-8343.96089241236;24656.1889958005
270;198.623927858601;-15184.1720167507;-8368.84325065735;24795.590293657
280;148.00945798953;-19664.0557716208;-8403.13943138903;24844.3656839684
290;174.92093222948;-11212.1549807377;-8410.02711009981;24676.5465055987
300;184.067941337743;-6528.21186308038;-8413.02328048028;24564.7044504874
310;167.49489935202;-11598.5645245976;-8431.11418265635;24616.0884844402
320;131.845602275375;-14221.7989850395;-8453.68846506296;24622.6798251756
330;123.799514506888;-9572.36499578492;-8464.59766214543;24494.4408701789
340;128.327808076777;-4555.54014890403;-8469.22082046492;24384.4223717044
350;139.738108153152;-7960.82506823649;-8473.41141557133;24418.9998775229
360;122.066034439242;-10063.2402351243;-8480.84401922013;24452.2996374559
370;81.1856704825394;-7625.99214230573;-8496.35817201487;24387.3065976036
380;81.134786930048;-4416.99735856251;-8507.14046467693;24306.6440057203
390;92.5040597467047;-4435.63405466952;-8513.63893160136;24291.064791792
400;87.0883064132216;-5457.5399705947;-8521.81638791311;24299.2328363199
410;67.4314241619708;-4449.25067865403;-8530.0920691427;24261.0028829296
