Step;Temp;Press;TotEng;Volume
20;0.238150630330469;18343.624186542;-8559.77190432456;23659.8259746879
30;13.69343709334;-10682.4146639282;-8560.72784897039;24121.6255880127
40;21.2198780669801;3027.1111553807;-8561.246501007;23910.4311529525
50;27.0062960792259;1880.13334946167;-8561.07359575086;23943.6364033638
60;28.9266458377344;-4467.84266391177;-8560.79600983816;24061.2635002015
70;33.6861960251862;5353.15055124692;-8560.51232551856;23913.4275343494
80;41.9132006812048;-4778.76945907887;-8560.24237282313;24080.6548349527
90;45.2672034030736;3467.62903132206;-8559.98245712536;23957.3447282969
100;49.3361569975857;-1724.81105137343;-8559.63193900639;24048.0373620077
110;52.5194935899686;-23.2749201286405;-8559.2345327286;24021.6487082419
