Step;Temp;Press;TotEng;Volume
620;123.35142238339;146.665392163748;-8539.22333816615;24160.8558659803
630;121.723708725037;-310.697054716924;-8538.99500828469;24161.0974742973
640;123.89039445706;-184.860777789367;-8538.2628062608;24161.3390826144
650;123.82959010968;-23.9891283858194;-8537.66142625768;24161.5806909314
660;122.954582439585;453.185783648986;-8537.11241531172;24161.8222992485
670;126.407385243704;442.547465804611;-8536.52686707573;24162.0639075655
680;125.67404646802;-282.972905285812;-8535.8478709171;24162.3055158826
690;126.08412996745;-117.513267509611;-8535.11065994335;24162.5471241996
700;130.026283116394;616.051136149714;-8534.32281294203;24162.7887325167
710;128.505552909506;1463.81814611361;-8533.50004091014;24163.0303408337
