Step;Temp;Press;TotEng;Volume
120;53.9779558141938;420.079004131287;-8558.82752697213;24025.6425587939
130;53.0789669259873;128.470910379416;-8558.66329454935;24036.5821864934
140;54.4228608820668;-666.10794573875;-8558.3303060249;24050.4447716084
150;55.9574094131434;-100.029286699633;-8557.97732473444;24043.7696450946
160;56.9592357598245;452.025542309315;-8557.64542284919;24033.395040924
170;60.6392972764945;370.488154253649;-8557.22205052918;24038.4711105434
180;64.233857550148;-64.4375803916453;-8556.74857442455;24057.7575419863
190;69.0284347006732;-959.851298589435;-8556.20827387915;24072.2503479266
200;66.7005103474498;458.135622035321;-8555.63918664713;24055.6514887718
210;67.6500340046784;936.687722558981;-8555.08138902227;24053.3403890702
