Step;Temp;Press;TotEng;Volume
420;19.6857331578884;-2497.58595989285;-8552.04025196019;24207.0889058149
430;65.7033918760874;1554.0837488479;-8551.94500701831;24117.7063635358
440;94.0956316887922;169.692043080943;-8551.42605641634;24112.4126507388
450;97.2319333253782;-747.584515798411;-8550.8697935034;24121.6971451071
460;92.3325233553137;1671.05651350435;-8550.34091963743;24095.3815287915
470;90.4337600528307;-1919.40740677554;-8549.80804211546;24164.3184564425
480;94.043058613609;477.599707517929;-8549.08517331565;24127.8929281613
490;94.8805783790301;1077.85109473967;-8548.3883163197;24114.9645349708
500;101.165194335362;-1984.26874408263;-8547.56243337856;24168.7869865453
510;99.6800811489555;1439.37329955083;-8546.76906828444;24113.8173961941
